0.0211111	11.5751	3.48364	0.249374	11.5715	3.49132	0.268715	
0.052571	8.82619	1.16644	2.33063	8.83291	1.19156	2.37632	
0.0356491	1.98505	0.483161	0.22129	1.97577	0.448744	0.221747	
0.0865192	10.9319	2.77097	2.55419	10.8999	2.72494	2.4883	
0.0257753	3.657	2.39226	2.88104	3.66625	2.38423	2.85836	
0.0375744	6.96605	2.07606	0.976048	6.96701	2.05097	1.004	
0.033384	9.60842	2.7951	1.97772	9.62542	2.79452	2.00644	
0.0200067	1.87321	0.308429	1.572	1.88495	0.299814	1.55828	
0.0108326	0.662301	1.66893	0.0914365	0.65334	1.67473	0.0932951	
0.0182907	10.9336	2.58147	2.80435	10.9489	2.57857	2.81396	
0.0427823	10.5268	2.70321	1.51876	10.5282	2.67879	1.48366	
0.0278162	3.59402	2.26978	2.03008	3.59081	2.25361	2.05249	
0.0245099	9.40557	0.955056	2.87603	9.40861	0.971465	2.89398	
0.0242558	5.71164	3.28289	2.40452	5.7127	3.28562	2.38044	
0.0139478	3.20771	2.54255	0.423166	3.20078	2.55464	0.423719	
0.0379092	10.4965	3.25463	1.70935	10.5146	3.26743	1.67858	
0.0364795	10.2797	0.0977175	1.55538	10.3051	0.106571	1.58007	
0.0507427	8.52737	2.99789	1.92287	8.54506	3.04489	1.91562	
0.0211758	6.57542	0.680104	2.18944	6.57295	0.696432	2.17618	
0.119494	11.4631	1.77001	0.845159	11.5052	1.84112	0.931486	
0.0236734	1.88327	1.60693	0.517451	1.87945	1.61455	0.539537	
0.0072808	2.57772	2.14676	2.13821	2.5793	2.15387	2.13819	
0.031225	9.00081	2.5047	0.46826	8.99625	2.51045	0.43791	
0.0581174	6.24435	0.832984	2.71177	6.24042	0.859401	2.66015	
0.0144166	0.903258	1.53051	1.91748	0.901639	1.53105	1.90316	
0.0152032	4.09957	0.451369	2.12108	4.10279	0.436781	2.12391	
0.014353	7.82849	2.72308	1.06665	7.83642	2.72897	1.07706	
0.0391967	1.94035	3.53742	2.50261	1.94794	3.50999	2.47566	
0.0130191	5.7143	2.14614	1.68497	5.70977	2.13788	1.69396	
