0	7.67956
1	7.65858
2	7.63777
3	7.61722
4	7.59685
5	7.57671
6	7.55677
7	7.53708
8	7.51754
9	7.4982
10	7.47901
11	7.45997
12	7.44107
13	7.4223
14	7.40361
15	7.38505
16	7.36655
17	7.34815
18	7.32981
19	7.31153
20	7.29336
21	7.27523
22	7.25715
23	7.23912
24	7.22118
25	7.2033
26	7.18546
27	7.16768
28	7.14997
29	7.13231
30	7.11469
31	7.09714
32	7.07961
33	7.06215
34	7.04472
35	7.02737
36	7.01
37	6.99273
38	6.97548
39	6.95829
40	6.94109
41	6.92395
42	6.90682
43	6.88973
44	6.8727
45	6.85568
46	6.83867
47	6.82171
48	6.80475
49	6.78785
50	6.77092
51	6.75404
52	6.73715
53	6.72032
54	6.70349
55	6.68665
56	6.66987
57	6.65308
58	6.63631
59	6.61954
60	6.60277
61	6.58604
62	6.56933
63	6.55262
64	6.5359
65	6.51926
66	6.50258
67	6.48592
68	6.46926
69	6.45262
70	6.43595
71	6.41934
72	6.40273
73	6.38611
74	6.36949
75	6.35288
76	6.33627
77	6.31966
78	6.30308
79	6.28649
80	6.26985
81	6.25323
82	6.23662
83	6.21996
84	6.2033
85	6.18665
86	6.16997
87	6.15327
88	6.13653
89	6.11978
90	6.10299
91	6.08619
92	6.06938
93	6.0525
94	6.0356
95	6.01868
96	6.00173
97	5.98474
98	5.96769
99	5.95062
100	5.93352
101	5.91636
102	5.89919
103	5.88194
104	5.86467
105	5.84734
106	5.82998
107	5.81253
108	5.79506
109	5.77754
110	5.75997
111	5.74235
112	5.72466
113	5.70692
114	5.68909
115	5.67122
116	5.6533
117	5.6353
118	5.61725
119	5.59914
120	5.58093
121	5.56267
122	5.54432
123	5.5259
124	5.50743
125	5.48885
126	5.47022
127	5.45151
128	5.4327
129	5.41384
130	5.39486
131	5.37585
132	5.35672
133	5.33754
134	5.31826
135	5.29892
136	5.27948
137	5.25997
138	5.2404
139	5.22075
140	5.20102
141	5.18123
142	5.16136
143	5.14143
144	5.12143
145	5.10136
146	5.08125
147	5.06108
148	5.04084
149	5.02054
150	5.00019
151	4.97981
152	4.95937
153	4.93887
154	4.91835
155	4.8978
156	4.87717
157	4.85656
158	4.83588
159	4.81517
160	4.79445
161	4.77371
162	4.75292
163	4.73212
164	4.71127
165	4.69043
166	4.66957
167	4.64867
168	4.62779
169	4.60686
170	4.58593
171	4.56501
172	4.54406
173	4.5231
174	4.50212
175	4.48118
176	4.4602
177	4.43923
178	4.41827
179	4.39732
180	4.37637
181	4.35539
182	4.33447
183	4.31353
184	4.29263
185	4.27172
186	4.25085
187	4.23
188	4.20916
189	4.18834
190	4.16756
191	4.14679
192	4.12607
193	4.10537
194	4.08472
195	4.06411
196	4.04353
197	4.02301
198	4.00253
199	3.98208
200	3.96173
201	3.94138
202	3.92111
203	3.9009
204	3.88076
205	3.86067
206	3.84066
207	3.82071
208	3.80084
209	3.78104
210	3.76132
211	3.74167
212	3.7221
213	3.70263
214	3.68325
215	3.66394
216	3.64473
217	3.62563
218	3.6066
219	3.58769
220	3.56887
221	3.55016
222	3.53155
223	3.51304
224	3.49465
225	3.47636
226	3.45818
227	3.44012
228	3.42218
229	3.40435
230	3.38664
231	3.36905
232	3.35157
233	3.33424
234	3.31702
235	3.29991
236	3.28292
237	3.26609
238	3.24938
239	3.23278
240	3.2163
241	3.19998
242	3.18376
243	3.16768
244	3.15173
245	3.13592
246	3.12024
247	3.10468
248	3.08925
249	3.07395
250	3.05879
251	3.04375
252	3.02885
253	3.01406
254	2.99941
255	2.98488
256	2.97049
257	2.95622
258	2.94208
259	2.92806
260	2.91417
261	2.90039
262	2.88675
263	2.87322
264	2.85982
265	2.84652
266	2.83337
267	2.82032
268	2.8074
269	2.79458
270	2.78189
271	2.76931
272	2.75685
273	2.74449
274	2.73225
275	2.72012
276	2.70809
277	2.69618
278	2.68438
279	2.67268
280	2.66108
281	2.64959
282	2.63822
283	2.62694
284	2.61576
285	2.60468
286	2.5937
287	2.58281
288	2.57204
289	2.56136
290	2.55077
291	2.54028
292	2.52987
293	2.51957
294	2.50936
295	2.49924
296	2.48921
297	2.47926
298	2.4694
299	2.45964
300	2.44996
301	2.44036
302	2.43085
303	2.42142
304	2.41209
305	2.40282
306	2.39364
307	2.38454
308	2.37552
309	2.36658
310	2.35771
311	2.34892
312	2.34022
313	2.33159
314	2.32303
315	2.31454
316	2.30613
317	2.29778
318	2.28951
319	2.28131
320	2.27319
321	2.26513
322	2.25713
323	2.24921
324	2.24136
325	2.23357
326	2.22585
327	2.2182
328	2.2106
329	2.20307
330	2.1956
331	2.18821
332	2.18087
333	2.17359
334	2.16637
335	2.15921
336	2.15211
337	2.14507
338	2.13809
339	2.13117
340	2.1243
341	2.11749
342	2.11075
343	2.10405
344	2.09741
345	2.09082
346	2.0843
347	2.07782
348	2.07139
349	2.06502
350	2.0587
351	2.05244
352	2.04622
353	2.04005
354	2.03394
355	2.02788
356	2.02187
357	2.01589
358	2.00998
359	2.0041
360	1.99829
361	1.99253
362	1.98679
363	1.98112
364	1.97548
365	1.9699
366	1.96436
367	1.95886
368	1.95341
369	1.94801
370	1.94264
371	1.93733
372	1.93205
373	1.92681
374	1.92163
375	1.91648
376	1.91138
377	1.90631
378	1.9013
379	1.89631
380	1.89138
381	1.88648
382	1.88162
383	1.87679
384	1.87201
385	1.86728
386	1.86257
387	1.85791
388	1.85328
389	1.8487
390	1.84415
391	1.83964
392	1.83516
393	1.83072
394	1.82632
395	1.82195
396	1.81761
397	1.81332
398	1.80907
399	1.80484
